League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
SWITZERLAND 1,2025-12-16,16:30:00,18,St. Gallen,Sion,2.86,2.3,3.2,2.37,3.6,2.75,1.3,3.3,2.68,1.44,6.0,1.11,1.04,9.5,1.2,3.96,1.88,2.04,1.67,2.15,1.27,1.3,1.47,1.67,1.63,1.77,1.53,3.3,2.05,8.0,2.2,1.25,3.58,1.41,2.5,2.0,1.92,2.22,1.64,2.92,1.32
SWITZERLAND 1,2025-12-16,16:30:00,18,Winterthur,Thun,3.9,2.45,2.2,3.85,4.2,1.73,1.22,3.8,2.21,1.66,4.75,1.18,1.02,17.0,1.16,5.0,1.48,2.5,1.44,2.51,1.16,1.25,1.15,0.63,2.25,1.36,1.79,3.15,2.75,8.5,1.55,1.16,4.15,1.33,2.88,1.7,2.05,1.99,1.73,2.59,1.39
